record_id,timestamp,device_id,data_type,data_value,numeric_value,location,closest_city,status,origin,destination
102,2025-05-01 20:58:30.336512,PKG48000,shock,0.19,0.19,"20.2624, 80.968",Mumbai,In Transit,Dubai,Manila
105,2025-05-01 21:31:30.336512,PKG96925,shock,0.09,0.09,"24.4461, 84.6479",Mumbai,In Transit,Manila,London
108,2025-05-02 01:32:30.336512,PKG36069,shock,0.29,0.29,"0.1405, 11.0357",Cape Town,In Transit,Paris,Cape Town
111,2025-05-02 02:38:30.336512,PKG62603,shock,0.39,0.39,"16.1722, 112.1301",Manila,Delayed,Mumbai,Manila
114,2025-05-02 07:15:30.336512,PKG33710,shock,0.2,0.2,"27.4818, 17.2395",Cairo,In Transit,Mumbai,New York
117,2025-05-02 07:55:30.336512,PKG28888,shock,0.43,0.43,"30.9045, 51.6755",Dubai,In Transit,Singapore,Berlin
120,2025-05-02 09:31:30.336512,PKG13561,shock,0.16,0.16,"51.5043, -7.0312",London,In Transit,Moscow,Chicago
123,2025-05-02 09:59:30.336512,PKG19474,shock,0.17,0.17,"14.8596, 119.9901",Manila,Processing,Manila,Paris
126,2025-05-02 12:11:30.336512,PKG46244,shock,0.19,0.19,"36.9225, -45.4607",New York,In Transit,New York,Bangkok
129,2025-05-02 14:35:30.336512,PKG37696,shock,1.19,1.19,"36.4279, 14.1312",Berlin,Delayed,Berlin,Cape Town
132,2025-05-02 14:58:30.336512,PKG80080,shock,0.26,0.26,"16.6605, 69.7346",Mumbai,In Transit,Paris,Singapore
135,2025-05-02 16:28:30.336512,PKG67384,shock,0.07,0.07,"16.9159, 107.1148",Bangkok,In Transit,Tokyo,Cape Town
138,2025-05-02 17:20:30.336512,PKG30932,shock,0.44,0.44,"34.0786, -94.1221",Chicago,Delivered,Seoul,Los Angeles
141,2025-05-02 19:47:30.336512,PKG61214,shock,0.1,0.1,"45.5881, 6.9143",Paris,In Transit,Paris,Cairo
144,2025-05-02 20:23:30.336512,PKG53221,shock,0.4,0.4,"31.8999, 23.0376",Cairo,Processing,Cairo,Toronto
147,2025-05-02 21:12:30.336512,PKG86820,shock,0.01,0.01,"-22.6593, 115.966",Singapore,In Transit,Sydney,Toronto
150,2025-05-02 22:09:30.336512,PKG97897,shock,0.25,0.25,"29.6017, 27.491",Cairo,Processing,Cairo,Toronto
153,2025-05-02 22:21:30.336512,PKG28030,shock,0.05,0.05,"-34.8168, 131.2877",Sydney,In Transit,Cape Town,Sydney
156,2025-05-02 23:54:30.336512,PKG77641,shock,0.5,0.5,"38.5479, 123.6234",Seoul,Processing,Seoul,New York
159,2025-05-03 03:08:30.336512,PKG30159,shock,0.04,0.04,"10.0298, -25.7319",São Paulo,In Transit,São Paulo,London
162,2025-05-03 04:06:30.336512,PKG46668,shock,0.17,0.17,"48.8904, 0.5288",Paris,Processing,London,Cape Town
165,2025-05-03 04:35:30.336512,PKG96769,shock,0.48,0.48,"33.3004, -21.4233",London,In Transit,Chicago,Dubai
168,2025-05-03 04:46:30.336512,PKG10854,shock,1.34,1.34,"20.0183, 77.894",Mumbai,Delayed,Seoul,São Paulo
171,2025-05-03 04:47:30.336512,PKG11802,shock,0.28,0.28,"-33.0377, 106.6745",Singapore,In Transit,Sydney,Cape Town
174,2025-05-03 07:48:30.336512,PKG50818,shock,0.22,0.22,"38.8917, 54.8443",Dubai,In Transit,New York,Seoul
177,2025-05-03 08:13:30.336512,PKG69494,shock,0.22,0.22,"31.0853, -115.9328",Los Angeles,Processing,Los Angeles,Mexico City
180,2025-05-03 11:51:30.336512,PKG11324,shock,0.06,0.06,"-17.0843, 145.7886",Sydney,In Transit,Seoul,Sydney
183,2025-05-03 15:16:30.336512,PKG11341,shock,0.45,0.45,"15.0243, 102.1257",Bangkok,Delivered,Seoul,Bangkok
186,2025-05-03 15:53:30.336512,PKG39375,shock,0.06,0.06,"38.8085, 36.9051",Cairo,In Transit,New York,Seoul
189,2025-05-03 17:10:30.336512,PKG37935,shock,1.39,1.39,"35.8802, -85.059",Chicago,Delayed,Mexico City,Toronto
192,2025-05-03 18:30:30.336512,PKG92986,shock,0.04,0.04,"37.8225, -54.3665",New York,In Transit,New York,Cairo
195,2025-05-03 19:07:30.336512,PKG10126,shock,0.46,0.46,"6.8016, 109.1398",Singapore,In Transit,Singapore,Tokyo
198,2025-05-03 20:11:30.336512,PKG38024,shock,0.14,0.14,"45.0338, 34.4226",Moscow,In Transit,Paris,Tokyo
201,2025-05-03 21:00:30.336512,PKG64384,shock,0.07,0.07,"14.3149, 95.4993",Bangkok,Processing,Bangkok,Cairo
204,2025-05-03 22:16:30.336512,PKG14018,shock,0.44,0.44,"22.6958, 0.964",Paris,In Transit,Los Angeles,Bangkok
207,2025-05-03 23:16:30.336512,PKG35939,shock,0.11,0.11,"48.051, 17.8981",Berlin,In Transit,Tokyo,Paris
210,2025-05-04 01:16:30.336512,PKG49224,shock,0.17,0.17,"29.8111, 30.9537",Cairo,Processing,Cairo,Berlin
213,2025-05-04 02:23:30.336512,PKG30150,shock,0.45,0.45,"48.7189, 2.5373",Paris,In Transit,London,Paris
216,2025-05-04 04:43:30.336512,PKG82258,shock,0.48,0.48,"45.4534, -65.6022",New York,In Transit,Moscow,Toronto
219,2025-05-04 07:11:30.336512,PKG77121,shock,0.39,0.39,"23.2834, 37.1037",Cairo,In Transit,Chicago,Bangkok
222,2025-05-04 11:54:30.336512,PKG71135,shock,0.36,0.36,"-34.5562, 18.612",Cape Town,Delivered,Dubai,Cape Town
225,2025-05-04 11:57:30.336512,PKG31172,shock,0.28,0.28,"45.1754, -39.7402",New York,In Transit,Berlin,New York
228,2025-05-04 12:14:30.336512,PKG50158,shock,0.47,0.47,"20.4432, 71.7647",Mumbai,Processing,Mumbai,London
231,2025-05-04 14:12:30.336512,PKG73335,shock,0.13,0.13,"48.6303, -23.2247",London,In Transit,London,Chicago
234,2025-05-04 14:32:30.336512,PKG14853,shock,0.42,0.42,"35.3135, -113.454",Los Angeles,Processing,Los Angeles,Toronto
237,2025-05-04 15:16:30.336512,PKG67132,shock,0.27,0.27,"26.8762, 43.9531",Dubai,Processing,Dubai,Chicago
240,2025-05-04 16:24:30.336512,PKG70774,shock,0.34,0.34,"26.0986, 49.2955",Dubai,In Transit,Dubai,Cairo
243,2025-05-04 19:00:30.336512,PKG85993,shock,0.28,0.28,"41.4387, 29.7666",Cairo,In Transit,Dubai,Berlin
246,2025-05-05 00:02:30.336512,PKG88781,shock,0.2,0.2,"45.1749, -55.9117",New York,In Transit,London,Toronto
249,2025-05-05 01:35:30.336512,PKG88477,shock,0.07,0.07,"31.643, 61.68",Dubai,In Transit,Seoul,Mexico City
252,2025-05-05 03:32:30.336512,PKG84740,shock,0.47,0.47,"50.4532, 4.0034",Paris,Processing,London,Mumbai
255,2025-05-05 08:15:30.336512,PKG42711,shock,0.14,0.14,"24.1593, -93.9932",Mexico City,In Transit,New York,Mexico City
258,2025-05-05 12:14:30.336512,PKG55017,shock,0.43,0.43,"48.137, -20.9988",London,In Transit,Los Angeles,Berlin
261,2025-05-05 13:10:30.336512,PKG20975,shock,0.19,0.19,"43.9523, -74.7973",New York,Processing,Toronto,Berlin
264,2025-05-05 14:27:30.336512,PKG97731,shock,0.02,0.02,"38.4413, 82.2881",Mumbai,In Transit,Seoul,Chicago
267,2025-05-05 14:51:30.336512,PKG96123,shock,0.48,0.48,"-10.5975, -14.2355",São Paulo,In Transit,Chicago,Cape Town
270,2025-05-05 17:46:30.336512,PKG83963,shock,0.31,0.31,"31.1737, -85.7712",Chicago,In Transit,Mexico City,New York
273,2025-05-05 18:01:30.336512,PKG60448,shock,0.39,0.39,"50.9631, 3.5141",Paris,In Transit,London,Berlin
276,2025-05-05 18:03:30.336512,PKG28711,shock,0.1,0.1,"37.8819, 65.4645",Dubai,In Transit,Tokyo,Chicago
279,2025-05-05 19:08:30.336512,PKG42606,shock,0.14,0.14,"50.469, 2.2152",Paris,Delivered,Los Angeles,Berlin
282,2025-05-05 20:21:30.336512,PKG61356,shock,0.38,0.38,"42.4882, -56.5906",New York,In Transit,New York,Moscow
285,2025-05-05 21:37:30.336512,PKG20954,shock,0.25,0.25,"5.4715, -60.3225",São Paulo,In Transit,Cape Town,Los Angeles
288,2025-05-06 03:42:30.336512,PKG57304,shock,0.12,0.12,"50.8295, 11.3327",Berlin,In Transit,Paris,Berlin
291,2025-05-06 05:08:30.336512,PKG73932,shock,0.22,0.22,"4.4157, 106.9115",Singapore,Delivered,Seoul,Singapore
294,2025-05-06 07:48:30.336512,PKG52929,shock,0.37,0.37,"39.7644, 112.0573",Seoul,Processing,Seoul,London
297,2025-05-06 08:34:30.336512,PKG94654,shock,0.23,0.23,"26.1267, 31.7888",Cairo,In Transit,Toronto,Bangkok
300,2025-05-06 10:09:30.336512,PKG49666,shock,0.21,0.21,"40.6785, -65.1911",New York,In Transit,Paris,Los Angeles
